"NAME_1","hazard","pop","pop_pc"
"Ajlun","Any hazard",32326.2689193654,0.295812735530503
"Amman","Any hazard",113055.972797928,1.03455789051432
"Aqaba","Any hazard",35433.3302567629,0.324244977926594
"Balqa","Any hazard",189196.49697268,1.73130816494414
"Irbid","Any hazard",149982.83118998,1.37246991564619
"Jarash","Any hazard",29586.0622523749,0.270737524032903
"Karak","Any hazard",83393.7931083947,0.763123827472736
"Ma`an","Any hazard",4057.56869709777,0.0371301896573777
"Madaba","Any hazard",33714.3729312395,0.30851506273002
"Mafraq","Any hazard",34964.9957357512,0.319959320458687
"Tafilah","Any hazard",3655.23158228829,0.0334484643449354
"Zarqa","Any hazard",35125.3012771125,0.321426251914002
"Ajlun","Flood",3076.6448314321,0.0281539056088375
"Amman","Flood",81791.6354384245,0.748462728034156
"Aqaba","Flood",2789.33461045021,0.02552477378337
"Balqa","Flood",8923.10142639118,0.0816539344191265
"Irbid","Flood",17483.8165791938,0.159991727554632
"Jarash","Flood",4784.45770649759,0.043781839646245
"Karak","Flood",902.128185326786,0.00825523684673734
"Ma`an","Flood",3421.63064058503,0.0313108179076027
"Madaba","Flood",2903.3774370614,0.0265683622219751
"Mafraq","Flood",2596.96320422227,0.0237644125101255
"Tafilah","Flood",2182.43090231664,0.0199710909084791
"Zarqa","Flood",31884.544436861,0.29177058244917
"Ajlun","Drought",29360.1798518389,0.268670508783559
"Amman","Drought",31959.7292330397,0.292458587003094
"Aqaba","Drought",0,0
"Balqa","Drought",60218.9617059452,0.551054494951964
"Irbid","Drought",125044.717271552,1.1442650549002
"Jarash","Drought",25752.68055444,0.235658835266586
"Karak","Drought",28395.4518378519,0.259842430493043
"Ma`an","Drought",700.300669833086,0.00640834416597546
"Madaba","Drought",25928.1776412895,0.237264782227804
"Mafraq","Drought",32610.9423650684,0.298417738629263
"Tafilah","Drought",11.072124506574,0.000101319315464269
"Zarqa","Drought",3271.77171610435,0.0299394818432747
"Aqaba","Heat",32777.4856687802,0.299941750892421
"Balqa","Heat",146004.840204054,1.33606792943499
"Irbid","Heat",9188.84503448396,0.0840857134733612
"Karak","Heat",57415.5333584945,0.525400751540012
"Madaba","Heat",5492.45797380279,0.0502606416493557
"Tafilah","Heat",1468.98440693244,0.0134424513064055
